coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,fold_3_fees_slippage,fold_3_max_dd,fold_3_round_trips,fold_3_sharpe,fold_3_trades,fold_3_turnover,fold_3_win_rate,fold_4_fees_slippage,fold_4_max_dd,fold_4_round_trips,fold_4_sharpe,fold_4_trades,fold_4_turnover,fold_4_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1944528710,1.9207106577,0.4737994395,6747.9701312256,37447.0699999999,8,-0.7468743058,32,15.7198724189,0.0307377049,7577.6205084228,123472.7800512695,11,0.2022426135,44,20.2574116328,0.0286885246,2544.4100097656,101815.5650378418,5,0.1365384154,20,9.7714317371,0.0430327869,2710.3654248047,59719.9398803711,7,-0.0152470829,26,12.6582341574,0.0390143737,1327.5652612305,46103.1598095703,5,0.0594234521,18,8.4246662136,0.0308008214,49.4475213497,0.9930873682,-21931.4700000000,-0.0244533256,0.0000002350,0.0000020655,2.4665381084,0.0594234521,2.9660860001,-0.7468743058,,2.2612047908,21
0.1671785753,2.6018340732,0.4881204385,2489.0496606445,23664.2600292969,3,-0.1750676349,12,5.9117957093,0.0225409836,663.7201904297,11229.4801025391,1,-0.4405803101,4,2.0071616577,0.0040983607,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,387.1702050781,26582.7100000000,1,-1.0083691535,4,2.0155448062,0.0020533881,829.6999340820,27780.9499389648,3,-0.0251492806,12,5.6235446331,0.0164271047,8.5898729026,2.7842269068,-49615.9200000000,-0.2774526957,0.0000257867,0.0000041733,3.5049646119,-0.1750676349,1.1454443399,-1.0083691535,0.7952214170,2.2218907449,22
0.1043461926,1.9710702776,0.5265173435,4258.9698345947,38257.5800292969,5,-0.4272450670,20,10.0414025026,0.0266393443,1493.4200854492,50205.4600512695,2,0.5615003779,8,4.0417120490,0.0040983607,2212.4997387695,165634.9249035645,4,-0.9042207965,16,7.9346614028,0.0245901639,1493.4452880859,69676.5498632813,4,-0.4574062779,14,6.8655495253,0.0164271047,995.7052319336,43231.2198095703,4,0.1495516366,14,6.3670062877,0.0246406571,48.9558008844,2.4728865593,-83098.2100000000,-0.1308345485,0.0000002225,0.0000068183,1.9668601742,-0.4272450670,2.3899175482,-0.9042207965,,2.1339425946,23
0.1765685844,1.8348962244,0.0675681993,3484.5798352051,9921.1500549316,4,0.8111911963,16,8.0818636190,0.0348360656,1493.4202905273,129021.2002050781,2,0.3687903216,8,4.0369072869,0.0102459016,2157.1402783203,234913.0750378418,4,-0.3773467867,16,7.9575931291,0.0389344262,1991.2848437500,71306.5199877929,5,-0.0287330205,18,8.7507704824,0.0328542094,1327.6154345703,98910.6450610352,5,-0.0030763902,18,8.2743912451,0.0431211499,51.8531751729,2.3609518159,24028.9100000000,0.0273179719,0.0000042442,0.0000000100,1.4167950374,-0.0030763902,2.1113573078,-0.3773467867,0.7854626583,2.3121149754,24
0.1651478405,1.8482129709,0.5843906429,3318.6998791504,24175.5100292969,4,0.1282635547,16,7.9747750261,0.0307377049,1382.8001391602,50205.4600512695,2,0.3034244088,8,3.9879555639,0.0061475410,2710.2398498535,126333.4498901367,5,-0.0450748320,20,9.9552490628,0.0327868852,2820.9850219727,38248.3698632813,7,0.1619580428,26,12.6218201574,0.0390143737,1272.2549755859,43231.2198095703,5,-0.2179989755,18,8.2975043436,0.0266940452,31.1880889583,2.7845941692,164011.5000000000,0.2220239442,0.0000103445,0.0000103225,3.5913587233,0.1282635547,2.1047056982,-0.2179989755,,2.9695330628,25
0.1735672038,2.1413695717,0.2348282558,3429.3199688721,108066.9300000001,4,-1.7167613367,16,8.0201776802,0.0286885246,2157.1402172852,243013.3900756836,3,-0.1693804018,12,5.7919288367,0.0122950820,1106.2499682617,212825.1650378419,2,-0.9735676106,8,4.0398488034,0.0348360656,1493.4452880859,69676.5498632813,4,-0.4574062779,14,6.8655495253,0.0164271047,719.1051342773,63116.0650024414,3,-0.0259925724,10,4.6032947113,0.0410677618,28.3055593634,1.5713490204,-508120.8400000000,-0.4846752877,0.0000001972,0.0000008029,2.7589010608,-0.4574062779,0.3680719805,-1.7167613367,0.5472403585,1.6407677301,26
0.1087512199,2.7936024645,0.0241309325,829.6502380371,75389.9999999999,1,0.0202743813,4,2.0382276652,0.0061475410,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,276.5498413086,55608.6749389649,1,-0.3317168826,4,1.9291546682,0.0164271047,34.2688260411,2.5648930554,-19674.4000000000,-0.0610805517,0.0000701370,0.0000018884,3.4397322861,0.0000000000,2.9910308792,-0.3317168826,0.1368171520,2.3749800704,27
0.0629018654,2.5060999797,0.3530280657,2489.0498828125,46079.4852990723,3,-0.7632440183,12,5.9182013066,0.0245901639,2489.0003076172,169665.5000512695,4,-0.6377576392,16,6.7462134772,0.0122950820,1106.2999060059,99164.1500402832,2,-0.5821117960,8,3.9089388157,0.0184426230,387.1702734375,60272.2749487305,1,-1.1715883539,4,2.0318817644,0.0041067762,1050.9400390625,40180.2600683593,4,-0.3007813242,16,6.7679096053,0.0266940452,15.4839658222,1.2002060047,-385143.3000000000,-0.6314511971,0.0000003232,0.0000080259,3.5888499957,-0.6377576392,1.6932384634,-1.1715883539,0.7190590122,2.1588433978,28
0.0745052137,2.3923089007,0.1052458500,2489.0500415039,19748.8352307129,3,0.2430130973,12,5.8982914217,0.0245901639,1825.2800268555,107502.2202050781,3,0.0022323267,12,5.0130933093,0.0143442623,553.1498925781,76577.4103088379,1,-0.1254750657,4,1.9567110770,0.0204918033,553.1252734375,51631.7749316406,2,-0.8398624096,6,2.9205391232,0.0082135524,719.1050854492,46034.4750024414,3,-0.0039938717,10,4.6020194205,0.0328542094,56.9022770876,1.3247395812,-226126.7500000000,-0.3083576822,0.0000500259,0.0000002827,1.5978950220,-0.0039938717,1.5365209735,-0.8398624096,,1.9919734346,29
0.0869608954,2.7668374673,0.3341012940,774.3399829102,15841.4200000000,1,-0.7868316370,4,1.9987950511,0.0000000000,1382.8000537109,16069.5700146485,2,-0.0144567137,8,3.9241896182,0.0061475410,995.6799572754,93457.6699694825,2,-0.3829938140,8,3.8525983495,0.0204918033,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,497.7897241211,40180.2600683593,2,-0.4794073370,8,3.0664669055,0.0061601643,44.2146497016,0.5303663153,-123688.6700000000,-0.3647545465,0.0000007759,0.0000017021,3.1502520417,-0.3829938140,1.9381350707,-0.7868316370,0.0589731461,2.6838713224,30
0.1012613975,2.1487560962,0.5952139371,3429.3197991943,9582.1900292969,4,0.4285684135,16,7.9586578807,0.0245901639,2157.1405224609,123472.7800512696,3,-0.0592129888,12,5.7960592407,0.0061475410,1106.2498583984,88679.9650378418,2,-0.8822952420,8,4.0058255501,0.0081967213,1272.1801684570,35333.5900170899,3,-0.6707762476,12,5.8726991754,0.0123203285,553.1501171875,26682.9801025391,2,0.5300895148,8,3.6933412413,0.0164271047,43.2918308357,1.9749014816,-151888.6500000000,-0.2890047255,0.0004954290,0.0000000406,1.4096302429,-0.0592129888,0.9377869413,-0.8822952420,0.7208864747,2.0912801490,31
0.1178133182,1.4778874234,0.3509896081,6250.1806030273,33387.9000439454,8,0.7294535454,32,15.2160943234,0.0676229508,6360.8006964111,72929.4406689454,9,0.3725497913,36,17.1340257659,0.0409836066,995.6300024414,66822.5898901366,2,-0.7339009458,8,3.9582653835,0.0061475410,2931.6300061035,71306.5199877929,7,0.6444821234,28,12.9479499676,0.0431211499,1161.5599853516,72908.3552124024,4,-0.6233889547,16,7.5824838798,0.0143737166,5.9840281493,0.6816458716,176356.1300000000,0.2820899367,0.0000080603,0.0000001058,2.7399105417,0.3725497913,0.5733308204,-0.7339009458,0.0859817827,2.7326880041,32
0.0791041182,1.7893195941,0.4492534350,5641.7202447510,37506.0450518799,7,0.1165430636,28,13.2682991666,0.0327868852,6250.1804467773,113953.1901196289,9,-0.1206787553,36,16.9696292643,0.0225409836,2046.5702331543,120801.9150378418,4,-0.7613440326,16,7.9308303934,0.0245901639,1548.7552905273,69676.5498632813,4,-0.5167064992,14,6.8518226195,0.0184804928,1050.9649145508,64671.2400244140,4,-0.4564228431,14,6.6700806749,0.0143737166,24.4008878633,0.7070214397,-347671.3199999999,-0.4307268881,0.0000375681,0.0000079989,2.5594992230,-0.4564228431,1.2801634312,-0.7613440326,,1.8484672129,33
0.1869461159,2.8900492966,0.5112313995,2433.6899890137,17965.7149816895,3,-0.2612511221,12,5.9619739906,0.0143442623,1382.8004296875,50205.4600512696,2,0.1359823761,8,4.0046695982,0.0081967213,553.1499597168,27079.3048925782,1,-0.2017296629,4,1.9275684389,0.0040983607,1216.8695190430,60588.9000781251,3,-0.7152984225,12,5.9047394540,0.0082135524,829.6998315430,27780.9499389648,3,0.2860669068,12,5.6150574439,0.0164271047,50.3200994207,1.6669587996,-33853.5700000000,-0.0900689153,0.0001943339,0.0000003674,3.0420589767,-0.2017296629,2.5108312093,-0.7152984225,0.5530171836,1.7438545871,34
0.0984381205,2.6456142662,0.4489345650,1659.3497875977,14365.4399414062,2,0.4582675863,8,3.9596334440,0.0184426230,2046.5205761719,123472.7800512696,3,-0.3610075737,12,5.7423027556,0.0081967213,553.1499194336,76577.4103088379,1,-0.8805058831,4,1.9876001009,0.0040983607,387.1702050781,26582.7100000000,1,-1.0083691535,4,2.0155448062,0.0020533881,553.1501171875,26682.9801025391,2,0.5300895148,8,3.6933412413,0.0164271047,16.1192451687,1.4918797179,-212573.8500000000,-0.4152439240,0.0000002222,0.0000005052,3.8137153259,-0.3610075737,0.2843300351,-1.0083691535,,1.7685940314,35
0.1667372339,2.9814894365,0.4984165593,774.3900549316,4366.7501831055,1,0.5594652747,4,1.9485308988,0.0102459016,663.7201904297,11229.4801025391,1,-0.4405803101,4,2.0071616577,0.0040983607,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,1216.8695190430,60588.9000781251,3,-0.7152984225,12,5.9047394540,0.0082135524,829.6999047852,27780.9499389649,3,0.2787137405,12,5.6147627798,0.0143737166,44.4082279011,2.8960233379,-38217.5700000000,-0.1801256970,0.0000004926,0.0000022157,3.9415239255,0.0000000000,1.7236699473,-0.7152984225,0.6696376254,1.8970426926,36
0.0664741829,2.7769797738,0.2138187278,1604.0398852539,14365.4399414062,2,0.2592280341,8,3.9814882318,0.0184426230,1382.7497216797,248130.1551904298,2,-0.9101566694,8,3.9629370969,0.0102459016,442.5299230957,90795.4301757812,1,-0.4569691664,4,1.9317452614,0.0184426230,387.1702734375,60272.2749487305,1,-1.1715883539,4,2.0318817644,0.0041067762,553.1500244141,47326.0498046875,2,0.0599048655,8,3.7024574991,0.0369609856,14.3543175888,2.4438603097,-319889.9100000000,-0.4353877931,0.0000129757,0.0000000805,2.7315938470,-0.4569691664,1.6076967887,-1.1715883539,0.6083892789,2.4472372759,37
0.1542953159,2.2498819233,0.3685208614,3429.3197515869,30497.2199707031,4,-0.5421744134,16,7.9763840771,0.0266393443,2157.0901098633,58362.5900000001,3,-0.1174222190,12,6.1043916821,0.0143442623,1659.3500427246,117520.0650378418,3,0.0568250241,12,5.9873268120,0.0348360656,1493.4453369141,69676.5498632812,4,-0.5198293823,14,6.8795048402,0.0266940452,719.1050854492,35284.6400146484,3,0.3766192031,10,4.5903955971,0.0246406571,33.6013891463,2.3322151921,30825.5000000000,0.0466067355,0.0000596950,0.0000021974,2.3886034274,-0.1174222190,0.8603065963,-0.5421744134,,2.1209338237,38
