coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd_pct,fold_0_max_dd_usd,fold_0_pnl,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd_pct,fold_1_max_dd_usd,fold_1_pnl,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd_pct,fold_2_max_dd_usd,fold_2_pnl,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1636926504,2.8470603196,0.3233606446,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,151.7611152182,2.7291928014,-3373.5400000000,-2.5419556372,0.0000059022,0.0000529748,2.8431197408,0.0000000000,0.0850960953,0.0000000000,0.0127933836,1.8991954084,10
0.0862513571,2.0255174465,0.0396494980,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,97.4537717506,8.1975796185,0.0000000000,0.0000000000,0.0002318831,0.0000000185,3.8981862424,0.0000000000,1.6866955267,0.0000000000,,2.8936563312,11
0.1439759694,2.7762366413,0.0747328235,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,165.7479396643,11.9736290391,0.0000000000,0.0000000000,0.0000014234,0.0000022105,2.6814278560,0.0000000000,0.8652636433,0.0000000000,0.6544967768,1.8388041426,12
0.1744705978,2.9181552854,0.3315669063,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,93.1718606147,4.6185236874,0.0000000000,0.0000000000,0.0000237518,0.0000247266,3.7298768850,0.0000000000,0.1292006657,0.0000000000,0.3323072299,2.0541066166,13
0.1071155762,1.0199091216,0.0471780223,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,189.8842568496,14.6477372719,0.0000000000,0.0000000000,0.0000407810,0.0000001246,1.3804513068,0.0000000000,2.5943348862,0.0000000000,,2.0475692366,14
0.0973915318,1.8595481224,0.5858773932,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,175.3616367541,6.8570621390,0.0000000000,0.0000000000,0.0001266965,0.0000001720,3.6439215182,0.0000000000,1.5321195166,0.0000000000,0.7959338785,2.2332743203,15
0.1505092774,1.3654247579,0.4874012389,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,154.6847305943,18.6628623899,0.0000000000,0.0000000000,0.0000469416,0.0000681796,3.5821042286,0.0000000000,0.7414402210,0.0000000000,,2.8201471820,16
0.1972914040,2.4292370733,0.2373343639,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,54.9433591203,12.4100464687,0.0000000000,0.0000000000,0.0004375453,0.0000017604,2.5780667459,0.0000000000,1.5703041822,0.0000000000,,1.7505793932,17
0.1943634640,2.1427912009,0.4635895207,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,53.7513888310,7.7542694531,0.0000000000,0.0000000000,0.0008185833,0.0000022881,3.0175799018,0.0000000000,0.5853221954,0.0000000000,0.4817913411,1.5096133240,18
0.1868932900,1.1445305311,0.4464584876,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,150.6585554796,3.1321189722,0.0000000000,0.0000000000,0.0000005116,0.0000003567,1.2633036603,0.0000000000,1.1852751251,0.0000000000,0.3778402694,2.2499592355,19
0.1566319795,2.5318342355,0.0764418054,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,134.1325962825,17.6393772983,0.0000000000,0.0000000000,0.0000001969,0.0000000191,2.4897150814,0.0000000000,0.4906302486,0.0000000000,0.2544139103,2.8729859402,20
0.1944528710,1.9207106577,0.4737994395,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,165.4646153264,5.5502290513,0.0000000000,0.0000000000,0.0000002350,0.0000020655,2.4665381084,0.0000000000,2.9660860001,0.0000000000,,2.2612047908,21
0.1671785753,2.6018340732,0.4881204385,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,31.7486749540,18.4464337287,0.0000000000,0.0000000000,0.0000257867,0.0000041733,3.5049646119,0.0000000000,1.1454443399,0.0000000000,0.7952214170,2.2218907449,22
0.1043461926,1.9710702776,0.5265173435,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,163.8553483489,16.2047832267,0.0000000000,0.0000000000,0.0000002225,0.0000068183,1.9668601742,0.0000000000,2.3899175482,0.0000000000,,2.1339425946,23
